Text,Image,Folio
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_1,"urn:cite:hmt:vaimg.VA253RN-0424@0.197,0.0977,0.654,0.0496",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_2,"urn:cite:hmt:vaimg.VA253RN-0424@0.21,0.13,0.647,0.0406",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_3,"urn:cite:hmt:vaimg.VA253RN-0424@0.206,0.1518,0.651,0.0563",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_4,"urn:cite:hmt:vaimg.VA253RN-0424@0.495,0.1961,0.359,0.0729",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_5,"urn:cite:hmt:vaimg.VA253RN-0424@0.63,0.272,0.212,0.0661",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_6,"urn:cite:hmt:vaimg.VA253RN-0424@0.629,0.3321,0.218,0.0376",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_7,"urn:cite:hmt:vaimg.VA253RN-0424@0.631,0.3539,0.22,0.0781",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_8,"urn:cite:hmt:vaimg.VA253RN-0424@0.624,0.4237,0.214,0.1668",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_9,"urn:cite:hmt:vaimg.VA253RN-0424@0.625,0.586,0.199,0.0841",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_10,"urn:cite:hmt:vaimg.VA253RN-0424@0.19,0.6551,0.64,0.0872",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_11,"urn:cite:hmt:vaimg.VA253RN-0424@0.187,0.7258,0.64,0.0293",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_12,"urn:cite:hmt:vaimg.VA253RN-0424@0.193,0.7393,0.628,0.027",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_13,"urn:cite:hmt:vaimg.VA253RN-0424@0.26,0.7491,0.435,0.0263",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_14,"urn:cite:hmt:vaimg.VA253RN-0424@0.185,0.7611,0.634,0.0541",urn:cite:hmt:msA.253r
